Year,County Name,County Code,N_days
1981,"Autauga County, AL",1001,4
1981,"Baldwin County, AL",1003,8
1981,"Barbour County, AL",1005,8
1981,"Bibb County, AL",1007,4
1981,"Blount County, AL",1009,0
1981,"Bullock County, AL",1011,9
1981,"Butler County, AL",1013,10
1981,"Calhoun County, AL",1015,0
1981,"Chambers County, AL",1017,4
1981,"Cherokee County, AL",1019,0
1981,"Chilton County, AL",1021,4
1981,"Choctaw County, AL",1023,10
1981,"Clarke County, AL",1025,4
1981,"Clay County, AL",1027,0
1981,"Cleburne County, AL",1029,0
1981,"Coffee County, AL",1031,8
1981,"Colbert County, AL",1033,0
1981,"Conecuh County, AL",1035,8
1981,"Coosa County, AL",1037,2
1981,"Covington County, AL",1039,9
1981,"Crenshaw County, AL",1041,12
1981,"Cullman County, AL",1043,0
1981,"Dale County, AL",1045,7
1981,"Dallas County, AL",1047,6
1981,"DeKalb County, AL",1049,0
1981,"Elmore County, AL",1051,4
1981,"Escambia County, AL",1053,8
1981,"Etowah County, AL",1055,0
1981,"Fayette County, AL",1057,2
1981,"Franklin County, AL",1059,0
1981,"Geneva County, AL",1061,7
1981,"Greene County, AL",1063,10
1981,"Hale County, AL",1065,6
1981,"Henry County, AL",1067,8
1981,"Houston County, AL",1069,7
1981,"Jackson County, AL",1071,0
1981,"Jefferson County, AL",1073,2
1981,"Lamar County, AL",1075,2
1981,"Lauderdale County, AL",1077,0
1981,"Lawrence County, AL",1079,0
1981,"Lee County, AL",1081,6
1981,"Limestone County, AL",1083,0
1981,"Lowndes County, AL",1085,11
1981,"Macon County, AL",1087,6
1981,"Madison County, AL",1089,0
1981,"Marengo County, AL",1091,7
1981,"Marion County, AL",1093,0
1981,"Marshall County, AL",1095,0
1981,"Mobile County, AL",1097,8
1981,"Monroe County, AL",1099,6
1981,"Montgomery County, AL",1101,9
1981,"Morgan County, AL",1103,0
1981,"Perry County, AL",1105,6
1981,"Pickens County, AL",1107,5
1981,"Pike County, AL",1109,10
1981,"Randolph County, AL",1111,2
1981,"Russell County, AL",1113,11
1981,"St. Clair County, AL",1115,0
1981,"Shelby County, AL",1117,2
1981,"Sumter County, AL",1119,7
1981,"Talladega County, AL",1121,0
1981,"Tallapoosa County, AL",1123,4
1981,"Tuscaloosa County, AL",1125,5
1981,"Walker County, AL",1127,2
1981,"Washington County, AL",1129,6
1981,"Wilcox County, AL",1131,6
1981,"Winston County, AL",1133,0
1981,"Apache County, AZ",4001,6
1981,"Cochise County, AZ",4003,10
1981,"Coconino County, AZ",4005,10
1981,"Gila County, AZ",4007,10
1981,"Graham County, AZ",4009,9
1981,"Greenlee County, AZ",4011,9
1981,"La Paz County, AZ",4012,13
1981,"Maricopa County, AZ",4013,14
1981,"Mohave County, AZ",4015,10
1981,"Navajo County, AZ",4017,7
1981,"Pima County, AZ",4019,11
1981,"Pinal County, AZ",4021,12
1981,"Santa Cruz County, AZ",4023,8
1981,"Yavapai County, AZ",4025,11
1981,"Yuma County, AZ",4027,10
1981,"Arkansas County, AR",5001,0
1981,"Ashley County, AR",5003,3
1981,"Baxter County, AR",5005,7
1981,"Benton County, AR",5007,12
1981,"Boone County, AR",5009,7
1981,"Bradley County, AR",5011,3
1981,"Calhoun County, AR",5013,3
1981,"Carroll County, AR",5015,8
1981,"Chicot County, AR",5017,2
1981,"Clark County, AR",5019,0
1981,"Clay County, AR",5021,0
1981,"Cleburne County, AR",5023,0
1981,"Cleveland County, AR",5025,2
1981,"Columbia County, AR",5027,3
1981,"Conway County, AR",5029,5
1981,"Craighead County, AR",5031,0
1981,"Crawford County, AR",5033,7
1981,"Crittenden County, AR",5035,0
1981,"Cross County, AR",5037,0
1981,"Dallas County, AR",5039,2
1981,"Desha County, AR",5041,0
1981,"Drew County, AR",5043,2
1981,"Faulkner County, AR",5045,2
1981,"Franklin County, AR",5047,7
1981,"Fulton County, AR",5049,7
1981,"Garland County, AR",5051,2
1981,"Grant County, AR",5053,2
1981,"Greene County, AR",5055,0
1981,"Hempstead County, AR",5057,0
1981,"Hot Spring County, AR",5059,2
1981,"Howard County, AR",5061,0
1981,"Independence County, AR",5063,0
1981,"Izard County, AR",5065,4
1981,"Jackson County, AR",5067,0
1981,"Jefferson County, AR",5069,0
1981,"Johnson County, AR",5071,6
1981,"Lafayette County, AR",5073,2
1981,"Lawrence County, AR",5075,2
1981,"Lee County, AR",5077,0
1981,"Lincoln County, AR",5079,2
1981,"Little River County, AR",5081,0
1981,"Logan County, AR",5083,6
1981,"Lonoke County, AR",5085,0
1981,"Madison County, AR",5087,8
1981,"Marion County, AR",5089,6
1981,"Miller County, AR",5091,0
1981,"Mississippi County, AR",5093,0
1981,"Monroe County, AR",5095,0
1981,"Montgomery County, AR",5097,2
1981,"Nevada County, AR",5099,0
1981,"Newton County, AR",5101,5
1981,"Ouachita County, AR",5103,2
1981,"Perry County, AR",5105,3
1981,"Phillips County, AR",5107,0
1981,"Pike County, AR",5109,0
1981,"Poinsett County, AR",5111,0
1981,"Polk County, AR",5113,0
1981,"Pope County, AR",5115,6
1981,"Prairie County, AR",5117,0
1981,"Pulaski County, AR",5119,0
1981,"Randolph County, AR",5121,0
1981,"St. Francis County, AR",5123,0
1981,"Saline County, AR",5125,2
1981,"Scott County, AR",5127,3
1981,"Searcy County, AR",5129,4
1981,"Sebastian County, AR",5131,7
1981,"Sevier County, AR",5133,0
1981,"Sharp County, AR",5135,6
1981,"Stone County, AR",5137,4
1981,"Union County, AR",5139,3
1981,"Van Buren County, AR",5141,4
1981,"Washington County, AR",5143,8
1981,"White County, AR",5145,0
1981,"Woodruff County, AR",5147,0
1981,"Yell County, AR",5149,6
1981,"Alameda County, CA",6001,6
1981,"Alpine County, CA",6003,8
1981,"Amador County, CA",6005,6
1981,"Butte County, CA",6007,7
1981,"Calaveras County, CA",6009,6
1981,"Colusa County, CA",6011,5
1981,"Contra Costa County, CA",6013,5
1981,"Del Norte County, CA",6015,10
1981,"El Dorado County, CA",6017,6
1981,"Fresno County, CA",6019,9
1981,"Glenn County, CA",6021,6
1981,"Humboldt County, CA",6023,7
1981,"Imperial County, CA",6025,13
1981,"Inyo County, CA",6027,9
1981,"Kern County, CA",6029,6
1981,"Kings County, CA",6031,4
1981,"Lake County, CA",6033,5
1981,"Lassen County, CA",6035,7
1981,"Los Angeles County, CA",6037,6
1981,"Madera County, CA",6039,9
1981,"Marin County, CA",6041,2
1981,"Mariposa County, CA",6043,9
1981,"Mendocino County, CA",6045,5
1981,"Merced County, CA",6047,4
1981,"Modoc County, CA",6049,8
1981,"Mono County, CA",6051,13
1981,"Monterey County, CA",6053,6
1981,"Napa County, CA",6055,6
1981,"Nevada County, CA",6057,7
1981,"Orange County, CA",6059,13
1981,"Placer County, CA",6061,7
1981,"Plumas County, CA",6063,14
1981,"Riverside County, CA",6065,12
1981,"Sacramento County, CA",6067,4
1981,"San Benito County, CA",6069,8
1981,"San Bernardino County, CA",6071,12
1981,"San Diego County, CA",6073,18
1981,"San Francisco County, CA",6075,0
1981,"San Joaquin County, CA",6077,4
1981,"San Luis Obispo County, CA",6079,7
1981,"San Mateo County, CA",6081,3
1981,"Santa Barbara County, CA",6083,11
1981,"Santa Clara County, CA",6085,8
1981,"Santa Cruz County, CA",6087,8
1981,"Shasta County, CA",6089,11
1981,"Sierra County, CA",6091,11
1981,"Siskiyou County, CA",6093,14
1981,"Solano County, CA",6095,6
1981,"Sonoma County, CA",6097,6
1981,"Stanislaus County, CA",6099,4
1981,"Sutter County, CA",6101,4
1981,"Tehama County, CA",6103,6
1981,"Trinity County, CA",6105,9
1981,"Tulare County, CA",6107,9
1981,"Tuolumne County, CA",6109,9
1981,"Ventura County, CA",6111,5
1981,"Yolo County, CA",6113,4
1981,"Yuba County, CA",6115,7
1981,"Adams County, CO",8001,0
1981,"Alamosa County, CO",8003,18
1981,"Arapahoe County, CO",8005,2
1981,"Archuleta County, CO",8007,23
1981,"Baca County, CO",8009,4
1981,"Bent County, CO",8011,9
1981,"Boulder County, CO",8013,0
1981,"Broomfield County, CO",8014,2
1981,"Chaffee County, CO",8015,21
1981,"Cheyenne County, CO",8017,6
1981,"Clear Creek County, CO",8019,13
1981,"Conejos County, CO",8021,18
1981,"Costilla County, CO",8023,14
1981,"Crowley County, CO",8025,8
1981,"Custer County, CO",8027,19
1981,"Delta County, CO",8029,16
1981,"Denver County, CO",8031,6
1981,"Dolores County, CO",8033,13
1981,"Douglas County, CO",8035,4
1981,"Eagle County, CO",8037,21
1981,"Elbert County, CO",8039,4
1981,"El Paso County, CO",8041,6
1981,"Fremont County, CO",8043,19
1981,"Garfield County, CO",8045,19
1981,"Gilpin County, CO",8047,7
1981,"Grand County, CO",8049,11
1981,"Gunnison County, CO",8051,19
1981,"Hinsdale County, CO",8053,20
1981,"Huerfano County, CO",8055,17
1981,"Jackson County, CO",8057,8
1981,"Jefferson County, CO",8059,9
1981,"Kiowa County, CO",8061,12
1981,"Kit Carson County, CO",8063,0
1981,"Lake County, CO",8065,15
1981,"La Plata County, CO",8067,16
1981,"Larimer County, CO",8069,4
1981,"Las Animas County, CO",8071,6
1981,"Lincoln County, CO",8073,4
1981,"Logan County, CO",8075,0
1981,"Mesa County, CO",8077,16
1981,"Mineral County, CO",8079,20
1981,"Moffat County, CO",8081,0
1981,"Montezuma County, CO",8083,11
1981,"Montrose County, CO",8085,14
1981,"Morgan County, CO",8087,0
1981,"Otero County, CO",8089,9
1981,"Ouray County, CO",8091,15
1981,"Park County, CO",8093,15
1981,"Phillips County, CO",8095,0
1981,"Pitkin County, CO",8097,19
1981,"Prowers County, CO",8099,6
1981,"Pueblo County, CO",8101,11
1981,"Rio Blanco County, CO",8103,12
1981,"Rio Grande County, CO",8105,22
1981,"Routt County, CO",8107,6
1981,"Saguache County, CO",8109,24
1981,"San Juan County, CO",8111,18
1981,"San Miguel County, CO",8113,12
1981,"Sedgwick County, CO",8115,0
1981,"Summit County, CO",8117,14
1981,"Teller County, CO",8119,10
